Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",31.104798432116787,,29.707720830470702,23.590783841907978,,29.3687862704093,24.02782437084167,31.655606439684558,,,34.33184168073866,,,22.268584152747845,24.114885746822424,31.655606439684558,,29.363769781515337,"Zack Wheeler",10310,554430
"Kevin Gausman","- - -",39.430608220237026,,,35.92144189099313,,37.24816677238368,37.70774762836236,,,,34.65868691707003,,,37.77111715966749,32.345981703864204,,,25.51071639936913,"Kevin Gausman",14107,592332
"Logan Webb","SFG",22.935811773809302,,23.643856741441315,,,22.224023513033274,18.86046061690275,,,,18.003273968473135,,,12.44313767377068,18.9137684546908,,,24.598341801281776,"Logan Webb",17995,657277
"Dylan Cease","- - -",54.06495216640766,,52.334390339098476,,,54.86829003355557,49.43004031457023,,54.41803025667724,,60.099329328744005,,,49.45543355135891,48.87601723189463,,,22.469412614329716,"Dylan Cease",18525,656302
"Corbin Burnes","- - -",40.33052392005921,,40.58413520871031,,,40.21758643031734,41.06441455504243,48.17185424214102,,,38.96179027010893,,,41.04592241288587,41.54623716848868,48.17185424214102,,22.464148637324612,"Corbin Burnes",19361,669203
"Max Fried","- - -",51.64083858326226,,46.191717953350654,,,48.42949000876655,45.62546761185325,52.56103755347804,,,42.12460459490038,,,47.267534951001274,41.94432382760982,52.56103755347804,,22.063511803065005,"Max Fried",13743,608331
"Aaron Nola","PHI",21.073975925758237,,21.534248376168993,,,20.43333443110377,,,23.19258138104305,,17.25884161451137,,,,,,,21.05502256364543,"Aaron Nola",16149,605400
"Framber Valdez","- - -",39.17470748292888,,45.056604919433596,,,42.765380577265795,41.6385856369632,42.49912133258322,,,42.465280088707,,,41.6385856369632,,42.49912133258322,,20.935728631229193,"Framber Valdez",17295,664285
"Tarik Skubal","DET",48.43275714385115,,39.230219977242605,44.43229675292969,,47.2053693242718,46.07766357216887,53.34763049096176,54.408628306833435,,47.69670432303479,,,46.07766357216887,,53.34763049096176,,20.850502171240024,"Tarik Skubal",22267,669373
"Sonny Gray","- - -",47.27249280637653,,48.18568255912392,,,47.69632287142569,47.41934661133533,49.76536491641265,51.503148873647056,,44.755928308265645,,,48.10998237451389,47.32130768124356,49.76536491641265,,19.74064773423829,"Sonny Gray",12768,543243
