Name,Team,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,ERA,NameASCII,PlayerId,MLBAMID
"Kenley Jansen","- - -",,,59.3874859400562,,,65.61463950020926,62.050351725415325,,,,39.448333740234375,,,62.31024553399337,54.99609120686849,,,3.0368100336046915,"Kenley Jansen",3096,445276
"Zack Britton","NYY",,,,,,36.56291403860416,36.198012741752294,,,,,,,36.198012741752294,,,,4.0263163420756864,"Zack Britton",3240,502154
"Ryan Weber","- - -",,,13.164001024686373,,,13.101572129085586,14.600367233401439,20.49341629876031,,,14.290604644680615,,,14.600367233401439,,20.49341629876031,,4.635193528493853,"Ryan Weber",10160,543901
"Ryan Sherriff","- - -",,,,,,17.792561431158155,23.33215844112894,,,,22.523183398776585,,,23.33215844112894,,,,3.1935490072705086,"Ryan Sherriff",12249,595411
"Dakota Bacus","WSN",,,,,,32.88606544593712,30.66600440530216,31.184977531433105,,,,,,30.66600440530216,,31.184977531433105,,7.9411831250708484,"Dakota Bacus",14545,621290
"Mark Appel","PHI",,,,,,43.66715431213379,39.38897972106933,,,,35.408402579171316,,,39.38897972106933,,,,1.7419355374593284,"Mark Appel",14823,571446
"Justin Topa","- - -",,,13.135843240453841,,,11.498199621435978,11.519832785798128,,,,11.184882086866041,,,12.716055394382012,10.102343567533989,,,4.141434997347861,"Justin Topa",15145,623437
"Jimmy Yacabonis","- - -",,,,,,32.134674498488785,26.245152435302735,,,,28.454483440944127,,,26.2603271484375,26.244706120210534,,,7.200001666546254,"Jimmy Yacabonis",15157,642231
"Miguel Castro","- - -",,,,,,11.461868309453035,15.88924689970073,,,,18.232554789745446,,,15.88924689970073,,,,4.147200978091051,"Miguel Castro",15684,612434
"Kent Emanuel","- - -",,,,,,26.61979607308265,23.20183833952873,,,,26.5622817221142,,,28.4472713470459,23.16777702430626,,,4.5849060922140055,"Kent Emanuel",15849,592288
"Cy Sneed","HOU",,,55.71057481032152,,,,53.710969845453896,55.237729415893554,,,58.44344787597656,,,53.710969845453896,,55.237729415893554,,5.711538674309858,"Cy Sneed",16106,605482
"Sam Clay","- - -",,,,,,35.12663868223371,31.054006416853085,,,,34.75587388838845,,,31.054006416853085,,,,5.900664220981882,"Sam Clay",16279,621348
"Ryan Borucki","- - -",,,20.280503749847412,28.219177088343113,,25.636496045461897,26.46607831852165,,,,26.237984796172206,,,25.93719328457201,29.470145511627198,,,4.302790212271389,"Ryan Borucki",16350,621366
"Danny Young","- - -",,,16.685550371805828,,,18.928167788304965,10.491681465474736,,,,4.372763951619466,,,,10.491681465474736,,,4.005495495897433,"Danny Young",18439,664849
"Trevor Kelley","- - -",,,,,,-9.258532583589613,-13.182805894369102,-11.21529802056246,,,-15.470271462743932,,,-9.210642849315297,-15.150994824933576,-11.21529802056246,,6.377954011616607,"Trevor Kelley",18454,665001
"Sean Poppen","- - -",,,,,,23.489765836837442,22.6514608260782,,,,22.971195793151857,,,22.6514608260782,,,,4.728814388179472,"Sean Poppen",19583,664092
"Seth Elledge","STL",,,,,,32.53339185809145,37.057660265033746,,,,34.8037478129069,,,37.057660265033746,,,,4.628573123290235,"Seth Elledge",19766,676220
"Jake Fishman","MIA",,,,,,6.054533615853023,10.400113330167883,,,,,,,10.400113330167883,,,,4.090909822420771,"Jake Fishman",20060,670288
"Chad Smith","- - -",,,,,,31.106447510441914,31.361038653055825,,,,32.47493989127023,,,31.361038653055825,,,,7.105264617878614,"Chad Smith",20190,663385
"Cristopher Sánchez","PHI",,,34.866129557291664,,,31.783633794079286,32.35545435509912,,,,28.844081971094198,,,32.35545435509912,,,,3.13705592409455,"Cristopher Sanchez",20778,650911
"Adrián Martinez","OAK",,,,,,19.595669652726517,20.934409652788613,,,,18.044353416579927,,,20.934409652788613,,,,5.511834820098943,"Adrian Martinez",21023,661309
