Season,Name,Team,GS,IP,vFA (pi),ERA,FA-AA,FT-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,SLO-AA,ST-AA,CUO-AA,CV-AA,NameASCII,PlayerId,MLBAMID
2024,"Eduardo Rodriguez","ARI",10,50,91.93803810586735,5.040000384521513,39.41512877296588,,37.78053950692365,,,41.25328480113637,42.47695655153509,,,,39.42016225961538,,,42.47695655153509,,,,"Eduardo Rodriguez",13164,593958
2025,"Lance McCullers Jr.","HOU",13,51.1,91.7752490942029,6.662337827368844,29.03961463341346,,26.9407884247449,,,24.93728047859769,21.99731585623204,,27.936153615014792,,25.219089446858288,,,21.99731585623204,,,,"Lance McCullers Jr.",14120,621121
2025,"Sean Manaea","NYM",12,51.1,91.58724883436945,5.961039551676916,14.922049827644665,,,,,15.572044372558594,17.962708076082826,,,,15.936108180454799,,,,17.962708076082826,,,"Sean Manaea",15873,640455
2025,"Martín Pérez","CHW",10,52.2,89.80964906754032,3.5886077682209145,50.128477035030244,,46.07385468064693,,,47.15321673768939,,49.998842985733695,,,44.96255696614583,,,,,49.998842985733695,,"Martin Perez",6902,527048
2025,"Brandon Walter","HOU",9,53.2,91.69186032046179,3.3540374260203403,28.121065759355094,,31.945689111547086,,,25.49213484221814,25.90657018442623,,,,20.24370969221896,,,,25.90657018442623,,,"Brandon Walter",26056,687888
2024,"Ty Blach","COL",12,56.1,,7.349112591920945,20.934163411458332,,19.473726806640624,,,20.765655517578125,22.49942398071289,22.050096299913193,,,19.87949304413377,,,22.49942398071289,,22.050096299913193,,"Ty Blach",14361,621389
2025,"Austin Gomber","COL",12,57.2,89.39878484876094,7.491329810140524,53.221375045553934,,51.6432373046875,50.5533203125,,,51.93721747248428,,55.792181199596776,,51.681837128429876,,,51.93721747248428,,,,"Austin Gomber",16561,596295
2025,"Blake Snell","LAD",11,61.1,95.1011623051225,2.3478261356317716,55.47877720424107,,,,,,58.00283545778509,59.35066914237668,,,52.789122781635804,,,58.00283545778509,,59.35066914237668,,"Blake Snell",13543,605483
2025,"Bowden Francis","TOR",14,64,92.58560995729813,6.046875360421858,38.82471085191706,,,38.27499008178711,,39.24943542480469,41.78093187736742,41.055126953125,,,,,,41.78093187736742,,41.055126953125,,"Bowden Francis",20548,670102
2025,"Corbin Burnes","ARI",11,64.1,,2.6580312982297354,,,40.42244965591155,,,39.86122241462629,39.82520067822802,45.689760188466494,,,37.89191927975171,,,39.82520067822802,,45.689760188466494,,"Corbin Burnes",19361,669203
2025,"Brandon Woodruff","MIL",12,64.2,92.96900860191637,3.2010310537212825,45.16753617869127,,43.6886220767798,,,44.03395280934343,41.748819986979164,45.23316786024306,,,41.26595818014706,,,,41.748819986979164,45.23316786024306,,"Brandon Woodruff",16162,605540
2024,"Trevor Williams","WSN",13,66.2,89.18989839702073,2.0250000772476224,17.790392340923773,,,,,15.834485904190892,16.69771156207656,,,,15.851581594797485,,,17.099268595377605,16.440716145833335,,,"Trevor Williams",16977,592866
